Country Name,Country Code,Series Name,Series Code,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Comoros,COM,Population growth (annual %),SP.POP.GROW,2.703601409,2.671224233,2.619042964,2.435264633,2.076173585,1.825582366,1.7702466,1.736191846,1.721990669,1.72218732,1.722069862,1.782138577,1.919894445,2.056751168,2.116080234,1.927019436,1.895924854,2.040840198,2.017054763,1.993059228,1.986851146,1.988653182,1.987907684,1.998717975,2.011498627,2.113849573,2.17541496,2.110933384,2.051115782,1.992577987,1.952741536,1.923857027,1.961993798,1.976319881
Djibouti,DJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2138.438431,2248.591143,2376.125547,2502.851814,2596.451347,2677.167015,2781.946872,2776.540909,2860.537939
Djibouti,DJI,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,347.9965151,299.3678629,268.3634563,213.0719986,305.9679664,300.3986867,320.939003,222.8379833,264.0202535
Djibouti,DJI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,1.74665225,0.637619554,1.981967346,3.122262047,3.104966401,3.483406997,4.965976546,11.95862069,1.675495873,3.950078759,5.068713948,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087,0.568112117,0.14797085,3.319253727,1.777407838,1.181917753
Djibouti,DJI,Population growth (annual %),SP.POP.GROW,6.418923512,7.709510827,10.19712243,8.522041783,-0.808530682,-1.897247405,2.009004234,1.010340524,2.384027029,3.555839277,4.016821001,3.493826002,3.139834532,3.16034601,3.096960925,2.230541555,1.537560106,1.566484982,1.958490405,2.168967505,2.060435192,2.083255102,2.033322702,1.948849448,1.899389061,1.85261177,1.800564961,1.739612734,1.685198916,1.642861254,1.602593729,1.557660865,1.502286563,1.442689442
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1882.267978,1921.856304,1972.137893,1940.100194,1979.020101,1989.9792,2024.953738,2074.839911,2133.648042,2204.665759,2277.285048,2361.864251,2458.60835,2492.034412,2498.481212,2524.804772,2574.423418,2635.703052,2761.624108,2902.065598,3052.212978,3135.096613,3233.845212,3222.376501,3220.991942,3216.37839,3235.662462,3306.981594,3381.222463,3452.909612,3568.639663,3701.244635,3770.869479,3837.319923
"Egypt, Arab Rep.",EGY,Trade (% of GDP),NE.TRD.GNFS.ZS,52.5974026,50.12987013,52.92275574,62.84444444,59.30984903,55.92783505,50.62857143,50.24509804,46.94856146,43.73824746,41.927627,38.36150845,39.0179359,39.81042654,40.98706783,46.17964072,57.81990521,62.95264624,61.51853651,65.07787325,71.68062535,56.55344464,47.93635007,45.25563416,40.71176927,40.37303806,36.92018779,34.84594296,30.24654905,42.83213436,45.91101967,41.12401716,32.12625557,29.85697348
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,17.66348615,21.26186709,16.75637471,19.74854482,13.63742417,12.08979229,8.154231286,15.7422305,7.187103697,4.625605788,3.872575464,3.079499126,2.683805353,2.269757205,2.73723855,4.507776363,11.27061933,4.869396969,7.644526445,9.318969058,18.31683168,11.76349544,11.26518827,10.06492599,7.111729433,9.469719811,10.07021547,10.37049034,13.81360621,29.50660839,14.40146578,9.152799593,5.04493289,5.214049405
"Egypt, Arab Rep.",EGY,Population growth (annual %),SP.POP.GROW,2.780294069,2.722212463,2.929609448,2.756975161,2.3894925,2.30727793,2.154005171,2.10420542,2.073361963,2.072559343,2.184807595,2.230564166,2.160919785,2.123803623,2.103723597,2.09545323,2.064377349,2.022209527,1.952913423,1.887532171,1.867404133,1.888365224,1.917951241,2.104460762,2.244757955,2.305263643,2.276439566,2.098925548,2.034682949,1.998178439,1.897138318,1.754974382,1.62495387,1.490805391
Iraq,IRQ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2398.237977,2262.470445,3526.579251,1254.630574,1615.039035,2005.563532,1985.79692,1961.092551,2108.823283,2478.843104,3242.957339,3691.740513,4172.780251,4116.094053,3660.925275,2250.069901,3354.265888,3310.863445,3471.987447,3565.580541,3781.780017,3768.172843,3881.94327,4030.016869,4387.904691,4504.826875,4446.973432,4440.141893,4932.927291,4736.327108,4749.009218,4898.148977,4213.998438,4182.50064
